parcelid,assessmentyear,roomcnt,regionidzip,rawcensustractandblock,bedroomcnt,calculatedfinishedsquarefeet,propertylandusetypeid,regionidcounty,taxvaluedollarcnt,longitude,latitude,bathroomcnt,taxamount,fips,propertycountylandusecode,structuretaxvaluedollarcnt,assessmentyear_nan,roomcnt_nan,regionidzip_nan,rawcensustractandblock_nan,bedroomcnt_nan,calculatedfinishedsquarefeet_nan,propertylandusetypeid_nan,regionidcounty_nan,taxvaluedollarcnt_nan,bathroomcnt_nan,taxamount_nan,fips_nan,structuretaxvaluedollarcnt_nan
13065820,3,0,261,238,3,1128,10,2,15269,-117.79543000000001,34.04849,3,4365,0,010C,16140,0,0,0,0,0,0,0,0,0,0,0,0,0
10907325,3,0,238,64,2,1019,6,2,21644,-118.40123999999999,34.1542,1,8430,0,0101,14613,0,0,0,0,0,0,0,0,0,0,0,0,0
17124179,3,7,355,455,4,1783,6,1,15049,-119.03821599999999,34.240142999999996,3,3732,2,1111,18467,0,0,0,0,0,0,0,0,0,0,0,0,0
11899638,3,0,273,281,4,2125,2,2,11089,-118.11501000000001,34.096203,3,3324,0,0201,12126,0,0,0,0,0,0,0,0,0,0,0,0,0
11528808,3,0,69,199,4,2480,6,2,18038,-118.4021,33.997658,5,5777,0,0100,21197,0,0,0,0,0,0,0,0,0,0,0,0,0
12715814,3,0,126,293,2,186,6,2,464,-118.08188,33.960163,1,718,0,0100,519,0,0,0,0,0,0,0,0,0,0,0,0,0
12278122,3,0,66,322,4,1100,6,2,1372,-118.2201,33.88476,2,1065,0,0100,2463,0,0,0,0,0,0,0,0,0,0,0,0,0
11290858,3,0,374,397,3,1131,6,2,6301,-118.12008999999999,34.677868,2,2540,0,0100,13128,0,0,0,0,0,0,0,0,0,0,0,0,0
14070267,3,8,293,438,4,1616,6,0,21184,-118.01973000000001,33.70218,2,8474,1,122,16257,0,0,0,0,0,0,0,0,0,0,0,0,0
14015684,3,0,327,430,0,3426,4,0,20811,-117.995605,33.83128,0,7831,1,96,14886,0,0,0,0,0,0,0,0,0,0,0,0,0
10723357,3,0,192,52,3,1265,6,2,13298,-118.64051,34.201941999999995,2,3756,0,0100,12671,0,0,0,0,0,0,0,0,0,0,0,0,0
11413871,3,0,98,365,2,606,2,2,4930,-118.33644,33.941520000000004,2,1830,0,0200,5791,0,0,0,0,0,0,0,0,0,0,0,0,0
13055922,3,0,242,234,4,1489,10,2,18308,-117.91080500000001,34.156887,3,6004,0,01DC,17061,0,0,0,0,0,0,0,0,0,0,0,0,0
13896449,3,0,296,416,2,684,6,0,21256,-117.74118,33.502502,2,7336,1,1,17361,0,0,0,0,0,0,0,0,0,0,0,0,0
14701600,3,0,327,441,3,520,10,0,8735,-118.012,33.8211,2,2568,1,1,10454,0,0,0,0,0,0,0,0,0,0,0,0,0
10929943,3,0,237,39,3,2413,6,2,22415,-118.35219599999999,34.155334,3,9278,0,0101,21283,0,0,0,0,0,0,0,0,0,0,0,0,0
14153155,3,8,332,409,4,1074,6,0,18653,-117.91673,33.933624,2,6343,1,122,10033,0,0,0,0,0,6,0,0,0,0,0,0,0
12967419,3,0,164,256,5,909,6,2,18505,-117.99653,34.153904,2,6383,0,0101,8714,0,0,0,0,0,0,0,0,0,0,0,0,0
11997481,3,0,33,84,3,1086,6,2,22663,-118.35043999999999,34.08197,2,9530,0,0100,18003,0,0,0,0,0,0,0,0,0,0,0,0,0
17281730,3,8,213,459,4,1630,6,1,20952,-118.860115,34.200665,3,7001,2,1110,19018,0,0,0,0,0,0,0,0,0,0,0,0,0
11916038,3,0,267,282,3,1043,6,2,10635,-118.09615,34.087784,2,3386,0,0100,9417,0,0,0,0,0,0,0,0,0,0,0,0,0
14282306,3,7,301,419,3,1186,6,0,20710,-117.89871000000001,33.64018,2,7164,1,122,10705,0,0,0,0,0,0,0,0,0,0,0,0,0
12445480,3,0,131,336,3,1938,6,2,19418,-118.11803400000001,33.878190000000004,3,6408,0,0100,19515,0,0,0,0,0,0,0,0,0,0,0,0,0
13942927,3,7,311,439,3,1542,6,0,8573,-118.00093000000001,33.76812,2,2621,1,122,10308,0,0,0,0,0,0,0,0,0,0,0,0,0
17310713,3,0,354,445,0,750,7,1,0,-119.1505,34.291472999999996,0,0,2,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11635614,3,0,59,386,2,1244,10,2,18110,-118.38799999999999,34.0892,2,5827,0,012C,18882,0,0,0,0,0,0,0,0,0,0,0,0,0
11039160,3,0,200,25,2,395,6,2,14382,-118.44495400000001,34.2522,1,4965,0,0100,8073,0,0,0,0,0,0,0,0,0,0,0,0,0
11156052,3,0,221,404,2,621,10,2,9687,-118.45200000000001,34.4066,2,3342,0,010C,13544,0,0,0,0,0,0,0,0,0,0,0,0,0
12271477,3,0,68,318,3,710,6,2,10709,-118.23381,33.911297,1,4193,0,0100,5919,0,0,0,0,0,0,0,0,0,0,0,0,0
11404151,3,0,96,363,4,1740,3,2,17488,-118.34443,33.962353,4,6177,0,0300,14348,0,0,0,0,0,0,0,0,0,0,0,0,0
13977050,3,0,294,438,5,3474,6,0,22840,-118.015045,33.69024,5,9567,1,122,22717,0,0,0,0,0,0,0,0,0,0,0,0,0
11539403,3,0,56,200,3,610,6,2,11978,-118.43567,33.990234,2,3210,0,0100,8739,0,0,0,0,0,0,0,0,0,0,0,0,0
13982869,3,5,285,416,4,1504,6,0,23247,-117.670876,33.458923,3,10025,1,122,1832,0,0,0,0,0,0,0,0,0,0,0,0,0
14029481,3,8,311,437,4,1372,6,0,8445,-117.96534,33.73596,2,830,1,122,9637,0,0,0,0,0,0,0,0,0,0,0,0,0
14183683,3,6,350,413,3,1179,6,0,3195,-117.837006,33.880367,2,1149,1,122,3778,0,0,0,0,0,0,0,0,0,0,0,0,0
11536735,3,0,93,197,2,313,6,2,11202,-118.46288999999999,33.986546000000004,1,3054,0,0100,703,0,0,0,0,0,0,0,0,0,0,0,0,0
17091305,3,7,354,446,4,856,6,1,16836,-119.16734,34.274357,2,4265,2,1111,17679,0,0,0,0,0,0,0,0,0,0,0,0,0
10935363,3,0,58,64,3,1302,6,2,18586,-118.34551,34.12403,3,6056,0,0100,17205,0,0,0,0,0,0,0,0,0,0,0,0,0
12213965,3,0,1,310,3,1336,6,2,1630,-118.24823,33.954536,1,1140,0,0100,2529,0,0,0,0,0,0,0,0,0,0,0,0,0
10970882,3,0,203,8,3,383,6,2,4134,-118.42243,34.324688,1,3387,0,0100,5060,0,0,0,0,0,0,0,0,0,0,0,0,0
11998945,3,0,33,121,4,2105,2,2,22121,-118.35878999999998,34.077877,3,8942,0,0200,20470,0,0,0,0,0,0,0,0,0,0,0,0,0
11082709,3,0,199,17,4,2340,6,2,17173,-118.53031999999999,34.2607,3,5407,0,0101,19424,0,0,0,0,0,0,0,0,0,0,0,0,0
11164146,3,0,211,405,3,1933,6,2,3264,-118.55221999999999,34.38493,2,1949,0,0100,5566,0,0,0,0,0,0,0,0,0,0,0,0,0
11211290,3,0,380,402,4,1172,6,2,7949,-118.041214,34.571,3,3231,0,0100,8312,0,0,0,0,0,0,0,0,0,0,0,0,0
12469409,3,0,133,343,3,719,6,2,1781,-118.16238,33.836098,1,857,0,0100,1990,0,0,0,0,0,0,0,0,0,0,0,0,0
12600935,3,0,106,379,2,881,10,2,18333,-118.317924,33.824818,3,5494,0,010C,19063,0,0,0,0,0,0,0,0,0,0,0,0,0
11969880,3,0,38,69,1,180,6,2,8469,-118.21553999999999,34.124752,1,2333,0,0100,1328,0,0,0,0,0,0,0,0,0,0,0,0,0
17122324,3,6,364,455,4,1339,6,1,2891,-119.14956000000001,34.258553000000006,1,1281,2,1110,4982,0,0,0,0,0,0,0,0,0,0,0,0,0
10731077,3,0,217,54,4,1499,6,2,8512,-118.63038999999999,34.185204,2,2375,0,0101,10675,0,0,0,0,0,0,0,0,0,0,0,0,0
14739901,3,0,299,418,2,622,10,0,6524,-117.74043999999999,33.602722,2,1477,1,34,11724,0,0,0,0,0,0,0,0,0,0,0,0,0
10890522,3,0,240,36,3,463,6,2,9419,-118.37648,34.180607,1,2649,0,0100,9032,0,0,0,0,0,0,0,0,0,0,0,0,0
11012602,3,0,205,14,3,1024,10,2,6394,-118.4712,34.28141,3,2014,0,010C,11869,0,0,0,0,0,0,0,0,0,0,0,0,0
11664340,3,0,86,179,5,3076,6,2,23742,-118.534676,34.042225,5,10695,0,0101,22968,0,0,0,0,0,0,0,0,0,0,0,0,0
12513036,3,0,158,350,3,974,6,2,17368,-118.12626000000002,33.797775,2,5232,0,0100,7345,0,0,0,0,0,0,0,0,0,0,0,0,0
11424267,3,0,78,366,3,1020,2,2,1992,-118.34062,33.91303,2,1003,0,0200,942,0,0,0,0,0,0,0,0,0,0,0,0,0
11206806,3,0,378,402,3,774,6,2,4427,-118.06063,34.561676,2,2207,0,0100,7886,0,0,0,0,0,0,0,0,0,0,0,0,0
14325216,3,0,300,418,4,2791,6,0,23656,-117.83527,33.572037,3,10537,1,122,22239,0,0,0,0,0,0,0,0,0,0,0,0,0
14185379,3,6,330,413,3,975,6,0,1562,-117.81301,33.868286,2,697,1,122,1820,0,0,0,0,0,0,0,0,0,0,0,0,0
14114776,3,6,326,431,3,858,6,0,16791,-117.93648999999999,33.82549,2,4932,1,122,5425,0,0,0,0,0,0,0,0,0,0,0,0,0
12796565,3,0,115,291,3,1157,6,2,6269,-118.025986,33.954327,2,5633,0,0100,8649,0,0,0,0,0,0,0,0,0,0,0,0,0
10819280,3,0,198,45,3,584,6,2,12501,-118.51626999999999,34.212532,1,4521,0,0101,3447,0,0,0,0,0,0,0,0,0,0,0,0,0
14193098,3,7,330,413,3,973,6,0,16975,-117.77673999999999,33.863243,2,4871,1,122,7756,0,0,0,0,0,0,0,0,0,0,0,0,0
14628215,3,0,312,414,2,242,10,0,6222,-117.588715,33.647694,2,1958,1,34,5245,0,0,0,0,0,0,0,0,0,0,0,0,0
17251341,3,7,369,462,4,1910,6,1,1927,-118.74705,34.269753,3,827,2,1111,2804,0,0,0,0,0,0,0,0,0,0,0,0,0
13127141,3,0,155,345,0,942,7,2,0,-118.21686000000001,33.820656,0,254,0,070P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12307227,3,0,80,309,2,1556,2,2,6895,-118.21688,33.968136,1,5370,0,0200,8173,0,0,0,0,0,0,0,0,0,0,0,0,0
12578494,3,0,145,322,3,687,10,2,6657,-118.24600000000001,33.8323,2,2084,0,010C,11497,0,0,0,0,0,0,0,0,0,0,0,0,0
14415967,3,8,309,416,3,1513,6,0,20642,-117.6929,33.549538,3,6583,1,122,15961,0,0,0,0,0,0,0,0,0,0,0,0,0
13937572,3,6,348,413,4,1502,6,0,3952,-117.80001999999999,33.789307,3,1218,1,122,8251,0,0,0,0,0,0,0,0,0,0,0,0,0
12680517,3,0,110,380,4,1504,6,2,19259,-118.36038,33.8128,2,6162,0,0100,9740,0,0,0,0,0,0,0,0,0,0,0,0,0
12076380,3,0,182,220,3,1435,6,2,21105,-118.21123,34.175663,2,7473,0,0100,17786,0,0,0,0,0,0,0,0,0,0,0,0,0
14390659,3,0,297,416,4,2584,6,0,21191,-117.67885,33.570675,3,7188,1,122,21532,0,0,0,0,0,0,0,0,0,0,0,0,0
14492962,3,5,313,414,3,680,6,0,9321,-117.65803500000001,33.633457,2,2027,1,122,6175,0,0,0,0,0,0,0,0,0,0,0,0,0
12991925,3,0,255,250,4,691,6,2,12308,-117.975296,34.059746000000004,2,3600,0,0100,3346,0,0,0,0,0,0,0,0,0,0,0,0,0
12248186,3,0,75,368,3,917,10,2,14492,-118.295,33.8793,3,4045,0,010C,15061,0,0,0,0,0,0,0,0,0,0,0,0,0
14380577,3,8,313,414,4,1156,6,0,12949,-117.68316000000002,33.614124,2,2951,1,122,11667,0,0,0,0,0,0,0,0,0,0,0,0,0
11013399,3,0,205,10,3,542,6,2,16812,-118.50461999999999,34.292873,2,5152,0,0101,14685,0,0,0,0,0,0,0,0,0,0,0,0,0
11928549,3,0,266,278,5,2574,6,2,22546,-118.07887,34.111225,5,9264,0,0100,21758,0,0,0,0,0,0,0,0,0,0,0,0,0
11457045,3,0,42,201,3,1242,6,2,3463,-118.38631000000001,33.96908,2,1148,0,0100,2322,0,0,0,0,0,0,0,0,0,0,0,0,0
12391342,3,0,125,287,3,595,6,2,706,-118.080345,34.00313,1,772,0,0100,555,0,0,0,0,0,0,0,0,0,0,0,0,0
11911592,3,0,267,281,3,1066,10,2,10457,-118.10700000000001,34.0922,3,3377,0,010C,13260,0,0,0,0,0,0,0,0,0,0,0,0,0
14085175,3,6,311,438,3,869,6,0,16220,-118.0391,33.755024,2,5864,1,122,8516,0,0,0,0,0,0,0,0,6,0,0,0,6
12135031,3,0,160,256,4,2093,12,2,19991,-118.026474,34.14801,3,6773,0,010D,19036,0,0,0,0,0,0,0,0,0,0,0,0,0
11007468,3,0,203,8,4,1149,6,2,5638,-118.429474,34.3252,2,424,0,0100,7819,0,0,0,0,0,0,0,0,0,0,0,0,0
12642467,3,0,88,384,3,905,6,2,8268,-118.300735,33.759064,2,2529,0,0100,12644,0,0,0,0,0,0,0,0,0,0,0,0,0
14185979,3,0,330,413,4,1509,6,0,16975,-117.80765,33.871265,2,4871,1,122,10663,0,0,0,0,0,0,0,0,0,0,0,0,0
11912536,3,0,266,279,6,2575,6,2,22066,-118.10736000000001,34.109287,4,9208,0,0101,20920,0,0,0,0,0,0,0,0,0,0,0,0,0
14455343,3,0,306,414,5,3719,6,0,23414,-117.59217,33.48257,5,10512,1,1,22902,0,0,0,0,0,0,0,0,0,0,0,0,0
10926936,3,0,236,36,2,417,6,2,8748,-118.36858000000001,34.174652,2,2391,0,0101,7336,0,0,0,0,0,0,0,0,0,0,0,0,0
12825280,3,0,114,295,3,636,6,2,1408,-118.01162,33.928616,2,765,0,0100,891,0,0,0,0,0,0,0,0,0,0,0,0,0
10882193,3,0,239,33,3,1280,6,2,11730,-118.40813999999999,34.19876,2,3276,0,0100,9070,0,0,0,0,0,0,0,0,0,0,0,0,0
14617320,3,0,318,422,2,672,10,0,13106,-117.89200000000001,33.6992,2,3591,1,34,6872,0,0,0,0,0,0,0,0,0,0,0,0,0
11758181,3,0,4,117,3,1542,10,2,20873,-118.307,34.0591,4,8491,0,010C,14019,0,0,0,0,0,0,0,0,0,0,0,0,0
12188392,3,0,2,165,3,595,6,2,5530,-118.272125,33.979040000000005,2,1733,0,0100,3570,0,0,0,0,0,0,0,0,0,0,0,0,0
17094417,3,6,354,445,3,852,6,1,7435,-119.16193999999999,34.28164,2,1769,2,1111,11186,0,0,0,0,0,0,0,0,0,0,0,0,0
13963416,3,0,284,417,4,2295,6,0,22527,-117.75210600000001,33.688286,3,9678,1,1,22191,0,0,0,0,0,0,0,0,0,0,0,0,0
12425397,3,0,129,336,4,1069,6,2,18867,-118.06536000000001,33.851944,2,5875,0,0100,9207,0,0,0,0,0,0,0,0,0,0,0,0,0
11290275,3,0,374,397,3,548,6,2,2989,-118.12411499999999,34.67775,2,1516,0,0100,4043,0,0,0,0,0,0,0,0,0,0,0,0,0
11551092,3,0,56,193,2,636,6,2,11560,-118.44684,34.004090000000005,2,3098,0,0100,7128,0,0,0,0,0,0,0,0,0,0,0,0,0
11672239,3,0,86,179,5,3603,6,2,23143,-118.54688999999999,34.07591,5,10093,0,0101,22741,0,0,0,0,0,6,0,0,0,0,0,0,0
10760657,3,0,188,394,6,2910,12,2,22765,-118.61053000000001,34.13255,5,9563,0,010D,22671,0,0,0,0,0,0,0,0,0,0,0,0,0
14656787,3,4,323,426,2,377,10,0,4362,-117.822,33.7334,2,1541,1,34,2682,0,0,0,0,0,0,0,0,0,0,0,0,0
11470080,3,0,42,204,2,309,6,2,14893,-118.37292,33.96476,1,4195,0,0100,13125,0,0,0,0,0,0,0,0,0,0,0,0,0
12399604,3,0,71,326,2,494,6,2,7887,-118.10342,33.953632,1,2387,0,0100,4987,0,0,0,0,0,0,0,0,0,0,0,0,0
14276224,3,6,304,418,4,2539,6,0,23519,-117.91338,33.61096,3,10337,1,122,21625,0,0,0,0,0,0,0,0,0,0,0,0,0
12441024,3,0,139,335,1,490,6,2,3024,-118.17766599999999,33.885727,1,1142,0,0100,3397,0,0,0,0,0,0,0,0,0,0,0,0,0
11873752,3,0,28,94,3,899,6,2,9261,-118.19691,34.090847,2,427,0,0100,7690,0,0,0,0,0,0,0,0,0,0,0,0,0
13008436,3,0,268,260,3,808,6,2,17347,-118.05878,34.099213,1,5234,0,0101,7328,0,0,0,0,0,0,0,0,0,0,0,0,0
10798754,3,0,212,58,2,837,10,2,11875,-118.537,34.1771,2,3169,0,010E,11060,0,0,0,0,0,0,0,0,0,0,0,0,0
14514910,3,0,317,436,0,0,7,0,53,-117.92299999999999,33.7498,0,32,1,71,98,0,0,0,0,0,0,0,0,0,0,0,0,0
14420290,3,7,309,416,4,2183,6,0,15802,-117.72096,33.500626000000004,3,3704,1,122,16960,0,0,0,0,0,0,0,0,0,0,0,0,0
17233938,3,7,368,463,4,1094,6,1,10450,-118.7179,34.273445,2,2893,2,1111,15020,0,0,0,0,0,0,0,0,0,0,0,0,0
11173428,3,0,196,404,2,462,10,2,2850,-118.48016000000001,34.401493,2,1246,0,010C,4254,0,0,0,0,0,0,0,0,0,0,0,0,0
12952764,3,0,270,249,4,1208,6,2,11335,-117.925964,34.059265,2,3011,0,0100,11879,0,0,0,0,0,0,0,0,0,0,0,0,0
12008587,3,0,25,89,2,2322,6,2,17878,-118.2838,34.100243,2,5673,0,0100,19664,0,0,0,0,0,0,0,0,0,0,0,0,0
10996635,3,0,169,3,2,401,6,2,4820,-118.30148,34.262417,1,4204,0,0100,3806,0,0,0,0,0,0,0,0,0,0,0,0,0
12455759,3,0,151,341,2,299,6,2,13857,-118.17223999999999,33.856976,1,3917,0,0100,4313,0,0,0,0,0,0,0,0,0,0,0,0,0
14439499,3,8,306,415,3,1570,6,0,20769,-117.630646,33.46528,3,6858,1,122,14614,0,0,0,0,0,0,0,0,0,0,0,0,0
11062651,3,0,198,22,4,2181,6,2,17125,-118.50828,34.222159999999995,3,5362,0,0100,17549,0,0,0,0,0,0,0,0,0,0,0,0,0
13061739,3,0,260,240,3,922,10,2,12635,-117.796,34.0327,3,3697,0,010C,15935,0,0,0,0,0,0,0,0,0,0,0,0,0
10893738,3,0,241,36,1,286,10,2,3805,-118.406,34.176,1,2541,0,010E,4437,0,0,0,0,0,0,0,0,0,0,0,0,0
10891036,3,0,236,36,9,3114,2,2,17097,-118.37133,34.174820000000004,6,8579,0,0200,20319,0,0,0,0,0,0,0,0,0,0,0,0,0
12800321,3,0,115,293,3,1245,6,2,8299,-118.04315,33.95035,1,2631,0,0100,5687,0,0,0,0,0,0,0,0,0,0,0,0,0
11475006,3,0,69,393,2,530,10,2,6766,-118.381,33.986,2,2048,0,010E,9612,0,0,0,0,0,0,0,0,0,0,0,0,0
13053149,3,0,244,237,3,1011,12,2,16651,-117.70671999999999,34.12137,3,4953,0,010D,12866,0,0,0,0,0,0,0,0,0,0,0,0,0
11845459,3,0,259,284,3,1124,10,2,14254,-118.111,34.0604,3,4314,0,010C,12703,0,0,0,0,0,0,0,0,0,0,0,0,0
17057983,3,5,360,444,1,936,6,1,12234,-119.18564599999999,34.447753999999996,2,2921,2,1110,14155,0,0,0,0,0,0,0,0,0,0,0,0,0
12967894,3,0,164,256,2,860,6,2,20158,-118.00665,34.157616,1,7459,0,0100,11369,0,0,0,0,0,0,0,0,0,0,0,0,0
13136937,3,0,66,322,0,1230,7,2,0,-118.22077,33.856784999999995,0,211,0,070P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12808203,3,0,255,250,3,614,6,2,4222,-117.97908000000001,34.047234,2,1455,0,0100,7090,0,0,0,0,0,0,0,0,0,0,0,0,0
11450480,3,0,109,377,3,1294,6,2,19913,-118.32181499999999,33.878345,3,6676,0,0100,17863,0,0,0,0,0,0,0,0,0,0,0,0,0
12235921,3,0,41,170,2,513,6,2,350,-118.28253000000001,33.935852000000004,1,265,0,0100,296,0,0,0,0,0,0,0,0,0,0,0,0,0
11657108,3,0,46,180,1,534,10,2,18201,-118.46851000000001,34.062637,1,5763,0,010E,14544,0,0,0,0,0,0,0,0,0,0,0,0,0
10937243,3,0,234,228,2,376,6,2,13152,-118.34536000000001,34.17816,1,3202,0,0100,11160,0,0,0,0,0,0,0,0,0,0,0,0,0
14525399,3,0,349,412,0,0,7,0,805,-117.87200000000001,33.864000000000004,0,261,1,0,2182,0,0,0,0,0,0,0,0,0,0,0,0,0
10959552,3,0,234,229,3,1238,6,2,19759,-118.34471,34.160920000000004,3,6318,0,0100,15104,0,0,0,0,0,0,0,0,0,0,0,0,0
14697326,3,0,351,413,2,582,10,0,9984,-117.72288,33.872875,2,2836,1,34,9080,0,0,0,0,0,0,0,0,0,0,0,0,0
12199891,3,0,80,309,5,1629,4,2,12212,-118.23042,33.96933,5,4875,0,0400,11859,0,0,0,0,0,0,0,0,0,0,0,0,0
10766698,3,0,191,51,2,427,10,2,7280,-118.574,34.2188,2,2279,0,010C,12901,0,0,0,0,0,0,0,0,0,0,0,0,0
12878778,3,0,261,239,3,532,6,2,3851,-117.73275,34.02832,1,1352,0,0100,4614,0,0,0,0,0,0,0,0,0,0,0,0,0
14264972,3,8,321,422,4,1356,6,0,2345,-117.88213999999999,33.70252,2,879,1,122,2764,0,0,0,0,0,0,0,0,0,0,0,0,0
13946030,3,5,298,438,3,541,6,0,814,-117.97893,33.747153999999995,1,791,1,122,639,0,0,0,0,0,0,0,0,0,0,0,0,0
11930523,3,0,267,281,2,904,6,2,8890,-118.074036,34.093697,1,2714,0,0100,2348,0,0,0,0,0,0,0,0,0,0,0,0,0
13001054,3,0,248,261,3,654,6,2,1142,-118.04198500000001,34.086918,2,3053,0,0100,1241,0,0,0,0,0,0,0,0,0,0,0,0,0
11997438,3,0,33,84,3,1025,6,2,16371,-118.35305,34.082737,2,4902,0,0100,9574,0,0,0,0,0,0,0,0,0,0,0,0,0
12206700,3,0,44,163,3,1098,6,2,869,-118.30507,33.96393,2,469,0,0100,606,0,0,0,0,0,0,0,0,0,0,0,0,0
10883905,3,0,239,34,2,919,10,2,6652,-118.42200000000001,34.1944,3,1906,0,012C,11215,0,0,0,0,0,0,0,0,0,0,0,0,0
13942802,3,8,311,439,3,1137,6,0,15225,-118.004944,33.768715,2,4362,1,122,6615,0,0,0,0,0,0,0,0,0,0,0,0,0
11874699,3,0,29,94,5,1676,2,2,19450,-118.19203999999999,34.07997,3,6641,0,0200,15097,0,0,0,0,0,0,0,0,0,0,0,0,0
